model_family,feature_set,scope,n,mae,rmse,r2,directional_accuracy,prev_rmse,prev_r2,rmse_redux_vs_prev_pct,r2_gain_vs_prev
elasticnet,M2_sector,Industrials,490,0.1675871359617661,0.28187872293716904,-0.12313374150999379,0.5795918367346938,0.27745165508423936,-0.08813185360192355,-1.595617748823859,-0.03500188790807024
elasticnet,M3_company,Industrials,490,0.16051534315133575,0.2820365944680777,-0.12439215856603503,0.6020408163265306,0.28187872293716904,-0.12313374150999379,-0.05600689873420197,-0.0012584170560412389
elasticnet,M4_idio_vol,Industrials,490,0.16035132336097407,0.2820366594748933,-0.12439267688999411,0.6040816326530613,0.2820365944680777,-0.12439215856603503,-2.304907124544693e-05,-5.183239590866862e-07
elasticnet,M5_text,Industrials,490,0.15983935279794553,0.28224321862232593,-0.1260402544961281,0.6183673469387755,0.2820366594748933,-0.12439267688999411,-0.07323840376538159,-0.0016475776061339875
elasticnet,M0_baseline,Materials,394,0.22331965873373147,0.37464551915687055,-0.012311679505239814,0.5786802030456852,,,,
elasticnet,M1_macro,Materials,394,0.232298663032492,0.37839687539167643,-0.03268589504150854,0.5558375634517766,0.37464551915687055,-0.012311679505239814,-1.0013081814639622,-0.020374215536268725
elasticnet,M2_sector,Materials,394,0.42941108546061263,4.030149570422273,-116.14277041327112,0.5558375634517766,0.37839687539167643,-0.03268589504150854,-965.0588925319978,-116.11008451822961
elasticnet,M3_company,Materials,394,0.22217045201759564,0.3840031465045085,-0.06351281665736663,0.6294416243654822,4.030149570422273,-116.14277041327112,90.47173957704321,116.07925759661376
elasticnet,M4_idio_vol,Materials,394,0.21945301176535,0.3830921023776132,-0.05847245304336801,0.616751269035533,0.3840031465045085,-0.06351281665736663,0.23724913068768388,0.005040363613998622
elasticnet,M5_text,Materials,394,0.21978295489037453,0.38346768007217974,-0.06054889111995676,0.6243654822335025,0.3830921023776132,-0.05847245304336801,-0.09803848532390912,-0.002076438076588749
elasticnet,M0_baseline,Real Estate,432,0.20867610391329042,0.4107087880670798,0.002545472151117445,0.8078703703703703,,,,
elasticnet,M1_macro,Real Estate,432,0.2175439616941271,0.41263445300289625,-0.0068298621354601075,0.7708333333333334,0.4107087880670798,0.002545472151117445,-0.46886382560237805,-0.009375334286577552
