model,year,n,mae,rmse,r2,dir_acc
ridge,2017,323,0.15617509142018912,0.2081128260442761,-0.3261058739382805,0.8637770897832817
ridge,2018,355,0.1487838844327554,0.23677123168879155,-0.18694182777245638,0.7746478873239436
ridge,2019,377,0.13539674599497634,0.22744449164068348,0.1909038842065055,0.7002652519893899
ridge,2020,366,0.17348103451482072,0.24771686968663045,-0.12954829980976967,0.7021857923497268
ridge,2021,366,0.26119629441803976,0.5299714379812365,-2.757138749699394,0.5983606557377049
ridge,2022,363,0.13941920537915628,0.23680759558117262,0.14662686430664051,0.6060606060606061
ridge,2023,363,0.1449397591065196,0.35297682552450227,-0.02827307863525519,0.7548209366391184
ridge,2024,383,0.08814290472233849,0.15836443469759975,-0.1636549847799298,0.6762402088772846
ridge,2025,203,0.10798097405346452,0.18557033718170482,-0.8537080375452746,0.6650246305418719
xgboost,2014,320,0.08560289758377257,0.1675722971217024,-0.26085285624713483,0.778125
xgboost,2015,309,0.11288100655512684,0.2058390225333052,0.2234926667154692,0.7540453074433657
xgboost,2016,311,0.11323053892256708,0.2619046012268652,0.13695585284576106,0.7363344051446945
xgboost,2017,323,0.10491057444552565,0.1739893433381561,0.07311510788190267,0.8018575851393189
xgboost,2018,355,0.12949747952137033,0.27058271456225,-0.5501426547382811,0.780281690140845
xgboost,2019,377,0.11998661094041904,0.216030839215823,0.27007073676551174,0.7400530503978779
xgboost,2020,366,0.15570603367289307,0.2324145040636585,0.005693922794172357,0.680327868852459
xgboost,2021,366,0.1737193168330492,0.32092847017183795,-0.3777448499963263,0.8661202185792349
xgboost,2022,363,0.13682207757880474,0.2633980201791779,-0.055778279898067495,0.7548209366391184
xgboost,2023,363,0.12764825510034278,0.3265722210278519,0.11981379136939685,0.7410468319559229
xgboost,2024,383,0.08417358383216157,0.16344991544461285,-0.23959074496831279,0.7650130548302873
xgboost,2025,203,0.0789609792088421,0.14586119157656982,-0.14525905308261056,0.7783251231527094
