model,ticker,n,mae,rmse,r2,dir_acc
baseline:company_hist,DD,26,0.20816568715786068,0.294623541215506,-1.000355741099717,0.6923076923076923
baseline:company_hist,DE,31,0.140959094964819,0.1722456609409583,-0.19592602769120848,0.6451612903225806
baseline:company_hist,DIS,7,0.2142025250181161,0.21551912252306912,-3.141242305926503,1.0
baseline:company_hist,DLR,46,0.07364128181145714,0.08507567510853176,-0.28056382773420063,1.0
baseline:company_hist,DOW,26,0.22079294314625747,0.26968741602994745,-0.9721677547269558,0.11538461538461539
baseline:company_hist,EA,46,0.07281689066411402,0.09554120493467569,-0.3526632356782202,0.6304347826086957
baseline:company_hist,ECL,46,0.12413697271390865,0.1549010433558247,-4.113822938508509,0.6304347826086957
baseline:company_hist,EOG,46,0.3434325338856922,0.4019031955461316,-0.3164225462360839,0.5217391304347826
baseline:company_hist,EQIX,46,0.07382316839322296,0.08131903001259481,-0.37143764102476373,1.0
baseline:company_hist,EQR,22,0.052568717886351694,0.08065539094762432,-1.1087122448310116,0.7272727272727273
baseline:company_hist,ETN,34,0.0757414311533306,0.09190337222062459,-0.38941548389559943,0.6176470588235294
baseline:company_hist,F,46,0.061761062722712666,0.08655433903049889,-0.13678496042246158,0.6956521739130435
baseline:company_hist,FCX,46,0.20508760769060874,0.2654281351900126,-0.4448054636880763,0.4782608695652174
baseline:company_hist,GE,45,0.4909629733075532,0.6283489227472414,-0.4962570090273768,0.35555555555555557
baseline:company_hist,GIS,28,0.04207027396766808,0.050679589113504994,-0.39131778793700334,0.6785714285714286
baseline:company_hist,GM,46,0.08934048232665366,0.11925018833070113,-0.13012189476481661,0.32608695652173914
baseline:company_hist,GOOGL,38,0.09176428895439329,0.10892387840094885,-0.595989908419734,1.0
baseline:company_hist,GS,46,0.13874400166389386,0.16961580631949352,-0.2922903574391158,0.45652173913043476
baseline:company_hist,HAL,46,0.22449999095001144,0.2737547087387479,-0.4412359812446871,0.4782608695652174
baseline:company_hist,HD,47,0.041489160471064504,0.061263407176992156,-0.1487898977682085,0.8936170212765957
baseline:company_hist,HON,46,0.07168534915781748,0.08728066431539945,-0.36270913534656146,0.5869565217391305
baseline:company_hist,INTC,19,0.04105717161663872,0.04700854444195165,-0.1624542225943606,0.6842105263157895
baseline:company_hist,JNJ,17,0.08070561429274214,0.10667865562851113,-0.6089077708045958,0.5882352941176471
baseline:company_hist,JPM,46,0.0582698162827645,0.08080319060919683,-0.4857466931811123,0.6956521739130435
baseline:company_hist,KMB,46,0.04424223781999419,0.07753370721735536,-0.06825015623566077,0.3695652173913043
baseline:company_hist,KO,13,0.06666343000847547,0.09016552714991549,-1.440605591597699,0.38461538461538464
baseline:company_hist,LIN,30,0.4174949729833378,0.48916305230856844,-1.3506370364540952,0.8
baseline:company_hist,LLY,46,0.1272635150599269,0.17075987674709062,-0.280921655354027,0.5
baseline:company_hist,LMT,46,0.0526984779326431,0.06672885153687601,-0.3672796404815788,0.6739130434782609
baseline:company_hist,LOW,47,0.06212562787731218,0.08226260514183519,-0.13609811822975515,0.8085106382978723
baseline:company_hist,MA,38,0.10138623183458606,0.1586275995733411,-0.18587373953051745,0.9736842105263158
baseline:company_hist,MCD,46,0.07245416266912712,0.08965488635219125,-0.2918098196029044,0.391304347826087
baseline:company_hist,MDLZ,46,0.07839356577265356,0.09034057315977946,-0.27766681724190123,0.3695652173913043
baseline:company_hist,META,46,0.17428164797562645,0.21285042161694384,-0.7817739774606907,0.9565217391304348
baseline:company_hist,MO,46,0.02191761599920935,0.025160033601445225,-0.16094770436248163,0.43478260869565216
baseline:company_hist,MRK,26,0.2114912618516529,0.29094701956645075,-3.6894985930558724,0.8076923076923077
baseline:company_hist,MS,46,0.09730002518977084,0.11491254940779495,-0.12213612837993915,0.717391304347826
baseline:company_hist,MSFT,46,0.0748076558191417,0.0828632305867248,-0.34086763492820427,0.8913043478260869
baseline:company_hist,NEM,30,0.19273892505251536,0.23173656728449257,-0.4609005171594147,0.6666666666666666
baseline:company_hist,NFLX,46,0.0811593546542115,0.10336507103595836,-0.26400670045317165,1.0
baseline:company_hist,NKE,46,0.06288572064619849,0.08307243465026401,-0.16656466937463343,0.7608695652173914
baseline:company_hist,NVDA,47,0.382648130384396,0.5523256543918907,-0.30348282707386676,0.8936170212765957
baseline:company_hist,O,30,0.13028613174964884,0.19897704709553696,-0.35030231273377144,1.0
baseline:company_hist,ORCL,38,0.19410343560655416,0.277753024713563,-0.1386401343939414,0.8421052631578947
baseline:company_hist,OXY,46,0.25371845139870763,0.29525665181967115,-0.14304719255825238,0.2826086956521739
baseline:company_hist,PEP,46,0.052935320272027846,0.06646276003036695,-0.9970069479038435,0.782608695652174
baseline:company_hist,PFE,9,0.16528201880079477,0.21110118652951523,-0.5113987959187649,0.4444444444444444
